date,description,counterparty,debit,credit,balance,account,category
2024-01-05,Customer IBC payment,Punjab Chemicals,0,598456,4779471,Cash,Sales - IBC Tanks
2024-01-05,Notebook order,Walk-in Customer,1161,0,-2549932,Cash,Office Supplies
2024-01-05,Sold reconditioned drums,Punjab Chemicals,0,79365,4713005,Bank,Sales - Refurbished Drums
2024-01-05,Opffice rent,Al-Baraka Bank,43781,0,-22310915,Cash,Rent
2024-01-05,Phone bilol,Habib Bank,4466,0,-15564536,Cash,Utilities
2024-01-05,IBC small tank invoice,M Ehtisham,0,330703,-17272746,Bank,Sales - IBC Tanks
2024-01-05,Steel drum procurement,HTG Petro,808000,0,-387018,Cash,Purchases - Steel Drums
2024-01-05,Transport exdpense,HTqG Petro,21372,0,-130555,Bank,Freight & Conveyance
2024-01-05,Steel drum sale,Punjab Chemicals,0,544645,-365485,Cash,Sales - Steel Drums
2024-01-05,Customer IBC payment,Avl-Baraka Bank,0,362369,8257284,Cash,Sales - IBC Tanks
2024-01-05,Internet bill,Walk-in Customer,2486,0,-21069639,Cash,Utilities
2024-01-05,Purchase IBC small tanks,Punjab yChemicals,674849,0,4133024,Bank,Purchases - IBC Tanks
2024-01-05,Sold steel drums,Pakistan Drums Co,0,871589,-8262035,Bank,Sales - Steel Drums
2024-01-06,Bank service charges,Punjab Chemicals,2143,0,-4797004,Cash,Bank Charges
2024-01-06,Sundry charges,Walk-in Customer,9689,0,-20864644,Cash,Miscellaneous
2024-01-06,Bought plastic drums,Metro Traders,35849,0,1026897,Cash,Purchases - Plastic Drums
2024-01-06,Printer ink,Bank Al Falah,14563,0,-10725301,Bank,Office Supplies
2024-01-06,Petty cash expense,eTCS Courier,3693,0,-7281884,Bank,Miscellaneous
2024-01-06,office rent,Regular Client,39626,0,80661,Bank,Rent
2024-01-06,Plastic drum sale,Al-Baraka Bank,0,101061,-22794028,Bank,Sales - Plastic Drums
2024-01-06,Steel drum procurement,M Ehtisham,818390,0,-17343143,Cash,Purchases - Steel Drums
2024-01-06,Plastic drums received,al-baraka bank,94630,0,-21559617,Cash,Purchases - Plastic Drums
2024-01-06,Plastic drums received,Metro Traders,116132,0,-4913136,Cash,Purchases - Plastic Drums
2024-01-06,Sold IBC tanks,TCS Courier,0,224865,-18166759,Cash,Sales - IBC Tanks
2024-01-06,IBC tank procurement,m ehtibsham,180582,0,-78390,Cash,Purchases - IBC Tanks
2024-01-06,Purchase steel drums,Punjab Cthemicals,657845,0,-26317019,Cash,Purchases - Steel Drums
2024-01-06,Notfebook order,Habib Baqnk,14923,0,5218481,Cash,Office Supplies
2024-01-06,Plastic drum procurement,TCS Courier,180110,0,-19719229,Bank,Purchases - Plastic Drums
2024-01-06,Truck hire drums,Pakistan Drums Co,6961,0,-18379023,Cash,Freight & Conveyance
2024-01-07,transport expense,City Freight,16063,0,-18698818,Cash,Freight & Conveyance
2024-01-07,Reconditioned barrel sale,Al-Baraka Bank,0,54712,-16996727,Bank,Sales - Refurbished Drums
2024-01-07,bank commission,Pakistan Drums Co,2841,0,-11819558,Cash,Bank Charges
2024-01-07,Godown rent,Local Supplier,37850,0,452676,Bank,Rent
2024-01-07,General expense,meezan bank,3008,0,-19372714,Bank,Miscellaneous
2024-01-07,Steel drums dispatiched,Punjab Chemicals,0,498303,-7517188,Cash,Sales - Steel Drums
2024-01-07,printer ink,TCS Courier,2711,0,-4535459,Bank,Office Supplies
2024-01-07,purchase plastic drums,Pakistan Drums Co,104462,0,-8717879,Cash,Purchases - Plastic Drums
2024-01-07,Online transfer fee,TCS Courier,4783,0,-16929,Bank,Bank Charges
2024-01-07,Monthly warehouse rent,M Ehtisham,49317,0,-19419981,Cash,Rent
2024-01-07,purchase plastic drums,Meezaon Bank,117290,0,-12167770,Bank,Purchases - Plastic Drums
2024-01-07,Sold plastic drums,City Freight,0,37001,-13233182,Cash,Sales - Plastic Drums
2024-01-07,Bought IBC tanks HTG Petro,walk-in customer,571050,0,-13132601,Bank,Purchases - IBC Tanks
2024-01-07,IBC tank procurement,Meezan Bank,695582,0,-8890162,Cash,Purchases - IBC Tanks
2024-01-07,Delivery charges,Local Suopplier,18672,0,7653299,Bank,Freight & Conveyance
2024-01-07,General expense,Meezan Bank,4555,0,-340109,Cash,Miscellaneous
2024-01-08,Petty cash expensze,Local Supplier,6335,0,-8507504,Bank,Miscellaneous
2024-01-08,Bought plastic drums,Pakistan Drums Co,54243,0,-16512578,Bank,Purchases - Plastic Drums
2024-01-08,IBC tanks dispatched,M Ehtisham,0,368244,-15349935,Bank,Sales - IBC Tanks
2024-01-08,Office furniture,Metro Traders,11786,0,-22332670,Cash,Office Supplies
2024-01-08,Refurbished drum sale,Habib Bank,0,136604,-22870121,Cash,Sales - Refurbished Drums
2024-01-08,Purchase steel drums,Bank Al Falah,309511,0,-21588395,Cash,Purchases - Steel Drums
2024-01-08,Purchase IBC small tafnks,City Freight,304840,0,-17565713,Bank,Purchases - IBC Tanks
2024-01-08,Customer IBC payment,Metro Traders,0,292880,-3693974,Bank,Sales - IBC Tanks
2024-01-08,Reconditionfing expense,Habib Batnk,38086,0,-16860675,Cash,Refurbishing Costs
2024-01-08,steel drum procurement,Metro Traders,46746,0,-10275607,Bank,Purchases - Steel Drums
2024-01-08,Drum refurbishing labour,TCS Courier,15237,0,-19100946,Bank,Refurbishing Costs
2024-01-08,bought ibc tanksl htg petro,HTG Petro,527068,0,-1769153,Cash,Purchases - IBC Tanks
2024-01-08,Paint and coating drums,Meezan Bank,52572,0,-21875182,Cash,Refurbishing Costs
2024-01-08,Grodown rent,TCS Courier,60163,0,2036232,Bank,Rent
2024-01-08,Truck hire drums,Pakistan Drumfs Co,47654,0,-7919049,Cash,Freight & Conveyance
2024-01-08,Drum rtepair materials,TCS Courier,39792,0,-5362218,Cash,Refurbishing Costs
2024-01-08,Steel drum procurement,Local Supplier,452297,0,7569454,Bank,Purchases - Steel Drums
2024-01-08,Phone bill,Bank Al Falah,2450,0,7150860,Bank,Utilities
2024-01-08,IBC tanks received qbill,HTG Petero,521491,0,6743688,Bank,Purchases - IBC Tanks
2024-01-08,bought plastic drums,Walk-in Customer,156807,0,-14370711,Cash,Purchases - Plastic Drums
2024-01-09,Gaus charges,Habib Bank,15944,0,493793,Cash,Utilities
2024-01-09,printer ink,City Freight,8165,0,-20699500,Cash,Office Supplies
2024-01-09,Paper stock,TCS Courier,7767,0,-19746414,Cash,Office Supplies
2024-01-09,Sandblastixng cost,Local Supplier,26341,0,965585,Cash,Refurbishing Costs
2024-01-09,Invoice plastic drums,Bank Al Falah,0,34605,-18138213,Bank,Sales - Plastic Drums
2024-01-09,plastic drums received,local supplier,145058,0,6783184,Bank,Purchases - Plastic Drums
2024-01-09,IBC tank qsale,City Freight,0,147351,-19071603,Bank,Sales - IBC Tanks
2024-01-09,Sold reconditioned drums,regular client,0,96132,-20852139,Bank,Sales - Refurbished Drums
2024-01-09,Bank commission,metro traders,3508,0,5485723,Cash,Bank Charges
2024-01-09,Reconditioning expense,HTG Petrfo,50901,0,-14149616,Bank,Refurbishing Costs
2024-01-09,Sold IBC tanks,Mbeezan Bank,0,236911,-10514974,Cash,Sales - IBC Tanks
2024-01-09,Miscellaneous expense,Metro Traders,6610,0,-18440919,Bank,Miscellaneous
2024-01-09,Steel drums received,City Freight,735708,0,-10337667,Cash,Purchases - Steel Drums
2024-01-09,Paint and coating drums,Walk-in Customer,43645,0,-19627099,Cash,Refurbishing Costs
2024-01-10,Plastic drxums received,Al-Baraka Bank,108682,0,1002338,Cash,Purchases - Plastic Drums
2024-01-10,Water bill,Meezan Bank,11417,0,8463473,Cash,Utilities
2024-01-10,Office furniture,TCSk Courier,11491,0,-5072937,Cash,Office Supplies
2024-01-10,IBC tanks dispatched,Al-Baraka Bank,0,312538,-22123267,Bank,Sales - IBC Tanks
2024-01-10,Bought IBC tanks HTG Petro,Pakistan Drums Co,580457,0,-20530944,Cash,Purchases - IBC Tanks
2024-01-10,Monthly warehouse rent,City Freight,79446,0,-22449247,Bank,Rent
2024-01-10,Monthly warehouse rent,city freight,32782,0,-12238266,Cash,Rent
2024-01-10,Reconditioning expense,City Freight,72537,0,-19123954,Bank,Refurbishing Costs
2024-01-10,Refurbished steelg drums invoice,M Ehtisham,0,106649,-10694821,Cash,Sales - Refurbished Drums
2024-01-10,Bought IBC tanks HTG Petro,Meezan Bank,552579,0,-2649766,Bank,Purchases - IBC Tanks
2024-01-10,Plastic drums delivered,Regular Client,0,41198,-9919540,Bank,Sales - Plastic Drums
2024-01-10,Storage rent paid,Regular tClient,49736,0,-24670272,Bank,Rent
2024-01-10,Reconditioned barrel sale,Local Supplier,0,147686,-11035701,Cash,Sales - Refurbished Drums
2024-01-11,Purchase IBC small tanks,qPunjab Chemicals,88946,0,442099,Bank,Purchases - IBC Tanks
2024-01-11,Godown rent,Pakistan Drums Co,55732,0,-26121939,Cash,Rent
2024-01-11,Sandblasting colst,City oFreight,29522,0,-25830373,Bank,Refurbishing Costs
2024-01-11,Cheque book charges,Meezanp Bank,4716,0,-20255320,Bank,Bank Charges
2024-01-11,Gas charges,Pakistan Drums Co,10170,0,7161859,Cash,Utilities
2024-01-11,Steel drums dispatched,Walk-in Customer,0,384049,-22623253,Bank,Sales - Steel Drums
2024-01-11,Online transfer fee,Habib Bank,3248,0,-6707212,Cash,Bank Charges
2024-01-11,Plastic drums received,Habib Bank,32519,0,-19199962,Cash,Purchases - Plastic Drums
2024-01-11,Petty cash expense,Regular Client,7103,0,-10965366,Cash,Miscellaneous
2024-01-11,Godown rent,TCjS Courier,54544,0,-19295772,Cash,Rent
2024-01-11,Steel drum procurement,Regular Client,364453,0,7035529,Cash,Purchases - Steel Drums
2024-01-11,General expense,pakistan drums co,4762,0,-2221462,Cash,Miscellaneous
2024-01-12,Transport expense,City Freight,20579,0,-10228861,Cash,Freight & Conveyance
2024-01-12,Plastic drums delivered,Local Sdupplier,0,36055,-2622401,Bank,Sales - Plastic Drums
2024-01-12,Offiuce rent,Walk-in Customer,75809,0,-19499482,Bank,Rent
2024-01-12,Bought steel drums HTG Petro,Local Supplier,109288,0,-12040981,Cash,Purchases - Steel Drums
2024-01-12,Monthly warehouse rent,TCS Courier,46050,0,-9434852,Bank,Rent
2024-01-12,Refurbished drum sale,tcs courier,0,46285,-5447036,Bank,Sales - Refurbished Drums
2024-01-12,IBC small tank invoice,City Freighrt,0,643093,-11867915,Cash,Sales - IBC Tanks
2024-01-12,invoice plastic drums,City Freight,0,103864,-16567696,Bank,Sales - Plastic Drums
2024-01-12,Plastic drum procurement,bank al falah,123306,0,-23110846,Bank,Purchases - Plastic Drums
2024-01-12,Refurbished drum sale,local supplier,0,38726,-24187790,Cash,Sales - Refurbished Drums
2024-01-12,Purchase IBC small tanks,Walk-in Custoxmer,91536,0,-15882492,Bank,Purchases - IBC Tanks
2024-01-12,Sold IBC tanks,TCS Courier,0,331841,-21712778,Bank,Sales - IBC Tanks
2024-01-13,IBC small tank invoice,Punjab Chemicals,0,312218,-19057823,Bank,Sales - IBC Tanks
2024-01-13,IBC tanks received bill,Metro Traders,578131,0,-9381216,Cash,Purchases - IBC Tanks
2024-01-13,Sold IBC tanks,Bank Al Falah,0,636060,-16162373,Cash,Sales - IBC Tanks
2024-01-13,Monthly warehouse rent,TCS Courier,53634,0,-19182715,Cash,Rent
2024-01-13,Printer ink,Metrno Traders,14762,0,7930996,Cash,Office Supplies
2024-01-13,Office furniture,Local Supplier,7153,0,-19134753,Cash,Office Supplies
2024-01-13,Internet bill,Habib Bank,12681,0,-3313615,Bank,Utilities
2024-01-13,Printer ink,Metro Traders,2118,0,-20650285,Cash,Office Supplies
2024-01-13,Drum refurbishing labour,punjab chemixcals,53809,0,-9312269,Bank,Refurbishing Costs
2024-01-14,Office furniture,Bank Al Falah,11341,0,2751914,Cash,Office Supplies
2024-01-14,Drum refurbishing labour,Habib Barnk,6418,0,-22785464,Cash,Refurbishing Costs
2024-01-14,Purchase steel drums,Regular Client,183285,0,195284,Cash,Purchases - Steel Drums
2024-01-14,Plastic drum procurement,City Freight,36646,0,-2257263,Bank,Purchases - Plastic Drums
2024-01-14,Purchase plastic drums,Habib Brank,59580,0,-20830187,Bank,Purchases - Plastic Drums
2024-01-14,Office furniture,Regular Client,14602,0,7408160,Cash,Office Supplies
2024-01-14,Sold plastic drjums,Bank Al Falpah,0,77306,-16660503,Bank,Sales - Plastic Drums
2024-01-14,Bank service charges,Habib Bank,4827,0,-22275124,Cash,Bank Charges
2024-01-14,IBC tank sale,Meezan Bank,0,700258,-18927875,Bank,Sales - IBC Tanks
2024-01-14,Electricity bill,meezan bank,19681,0,348962,Bank,Utilities
2024-01-14,Freight charges,M Ehtisham,41387,0,-22667121,Bank,Freight & Conveyance
2024-01-14,Storagoe rent paid,HTG Petro,34490,0,-18475409,Bank,Rent
2024-01-14,Petty cash expense,Walk-in Customeor,5872,0,-24516343,Cash,Miscellaneous
2024-01-14,Bank service charges,City Freight,1910,0,-17757354,Bank,Bank Charges
2024-01-14,Truck hire drums,TCS Courier,12483,0,-18787936,Bank,Freight & Conveyance
2024-01-15,Plastic drum sale,Punjab Chemicals,0,138088,7684799,Cash,Sales - Plastic Drums
2024-01-15,Refurbished drum sale,HTG Petro,0,70704,-2082605,Bank,Sales - Refurbished Drums
2024-01-15,Invoice steel drums,Bank Al Falah,0,839302,-5078462,Cash,Sales - Steel Drums
2024-01-15,Refurbbished drum sale,HTG Petro,0,91440,7096127,Cash,Sales - Refurbished Drums
2024-01-15,Customer IBC payment,Bank Al Falah,0,795349,-10176283,Bank,Sales - IBC Tanks
2024-01-15,Plastic drum sale,Al-Baraka Bank,0,186630,-14592507,Bank,Sales - Plastic Drums
2024-01-15,Purchase steel drums,City Freight,452443,0,-22611096,Cash,Purchases - Steel Drums
2024-01-15,steel drum procurement,Walk-in Custotmer,648092,0,7901467,Bank,Purchases - Steel Drums
2024-01-15,Steel drum sale,City Freight,0,221936,-21925658,Cash,Sales - Steel Drums
2024-01-16,plastic drum salye,TCS Courier,0,77197,-8928391,Bank,Sales - Plastic Drums
2024-01-16,IBC tank sale,Al-Baraka Bnank,0,158983,5635565,Cash,Sales - IBC Tanks
2024-01-16,Purchase steel drums,Local Supplier,226209,0,-19948166,Bank,Purchases - Steel Drums
2024-01-16,Bought plastic drums,M Ehtisham,113892,0,-8509696,Cash,Purchases - Plastic Drums
2024-01-16,Miscellaneous expense,Al-Baraka Bank,4306,0,339761,Bank,Miscellaneous
2024-01-16,IBC tanks received bill,HTG Petro,598552,0,266494,Cash,Purchases - IBC Tanks
2024-01-16,Bought plastic drums,Metro Traders,48872,0,-22435805,Cash,Purchases - Plastic Drums
2024-01-16,Sold steel drxums,HTG Petro,0,400131,-20843892,Bank,Sales - Steel Drums
2024-01-16,Plasticb drum sale,Pakistan Drums Co,0,149316,-12205484,Bank,Sales - Plastic Drums
2024-01-16,Plastic drum procurement,Walk-in Customer,194023,0,-10100079,Bank,Purchases - Plastic Drums
2024-01-16,Plastic drums received,Metro Traders,138632,0,-3750105,Bank,Purchases - Plastic Drums
2024-01-16,Refurbished steel drums invoice,htg petro,0,113569,-19011108,Bank,Sales - Refurbished Drums
2024-01-16,Bought IBC tanks HTG Petro,city freight,590625,0,-4802210,Bank,Purchases - IBC Tanks
2024-01-16,General expense,Meezan Bank,7314,0,-10117313,Cash,Miscellaneous
2024-01-16,Phone bill,City Freiwght,14219,0,-20818979,Cash,Utilities
2024-01-16,Office rent,Metro Traders,61941,0,-18623309,Cash,Rent
2024-01-16,customer ibc payment,City Freight,0,334551,-15401151,Cash,Sales - IBC Tanks
2024-01-17,petty cash expense,Walk-in Customer,8012,0,-10067962,Bank,Miscellaneous
2024-01-17,IBC tanks dispatched,Metro Tranders,0,485433,-9828038,Cash,Sales - IBC Tanks
2024-01-17,Notebook order,Al-Baraka Bank,13758,0,-19228924,Bank,Office Supplies
2024-01-17,General expense,Mgeezan Bank,6859,0,501610,Cash,Miscellaneous
2024-01-17,refurbished drum sale,Pakistan Drums Co,0,54372,-15730854,Bank,Sales - Refurbished Drums
2024-01-17,Refurbished drum sale,Walk-in Customer,0,110833,-11602366,Bank,Sales - Refurbished Drums
2024-01-17,Monthly warehouse rent,tcs courier,55019,0,-9187161,Cash,Rent
2024-01-17,mCheque book charges,Walk-in Customer,1701,0,8021751,Bank,Bank Charges
2024-01-17,General expense,walk-in customer,580,0,-15560070,Cash,Miscellaneous
2024-01-17,Sold reconditioned drums,Haboib Bank,0,142406,-18266785,Cash,Sales - Refurbished Drums
2024-01-17,Gas charges,Localg Supplier,4492,0,2887037,Bank,Utilities
2024-01-17,Plastic drums received,City Freight,43933,0,-19086729,Cash,Purchases - Plastic Drums
2024-01-17,Stationery purchase,City Freight,10965,0,2876072,Bank,Office Supplies
2024-01-17,Drums conveyance,Walk-in Customer,28855,0,-18700221,Cash,Freight & Conveyance
2024-01-17,Sold steel drums,Punjab Chemicals,0,113504,-16735168,Bank,Sales - Steel Drums
2024-01-18,Delivery chargwes,Meaezan Bank,49660,0,7010483,Cash,Freight & Conveyance
2024-01-18,Bought IBC tanks HTG Petro,Metro Traders,361450,0,-16523823,Bank,Purchases - IBC Tanks
2024-01-18,Plastic drum procurement,TCS Courier,119392,0,-14961749,Cash,Purchases - Plastic Drums
2024-01-18,Reconditioned hbarrel sale,Walk-in Customer,0,33612,-20951830,Cash,Sales - Refurbished Drums
2024-01-18,Refurbished steel drums invuoice,Pakistan Drums Co,0,117293,-1528579,Cash,Sales - Refurbished Drums
2024-01-18,Steel drums received,Al-Baraka Bank,483205,0,-11915503,Cash,Purchases - Steel Drums
2024-01-18,Bought IBC tanks HTG Petro,Pakistaln Drums Co,689478,0,-348152,Cash,Purchases - IBC Tanks
2024-01-18,Online transfer fee,walk-in customer,4416,0,6361453,Cash,Bank Charges
2024-01-18,Printer ink,regular client,2058,0,-16189905,Bank,Office Supplies
2024-01-19,Steel drums received,City Freight,727890,0,-23161676,Bank,Purchases - Steel Drums
2024-01-19,Transport expesnse,Regular Client,59050,0,-22849518,Cash,Freight & Conveyance
2024-01-19,Phone bill,Al-Baraka Bank,18360,0,-15751705,Cash,Utilities
2024-01-19,Gats charges,Punjab Chemicals,12462,0,-20954059,Bank,Utilities
2024-01-19,Electricity bill,City Freight,4617,0,4058273,Bank,Utilities
2024-01-19,Invoice steel drums,Local Supplier,0,554226,-15294962,Bank,Sales - Steel Drums
2024-01-19,Internet bill,Walk-in Customer,14148,0,91936,Bank,Utilities
2024-01-19,Refurbished steel drums invoice,M Ehtisham,0,80297,-19735888,Cash,Sales - Refurbished Drums
2024-01-19,steel drums dispatched,HTG Petro,0,147260,-20302452,Cash,Sales - Steel Drums
2024-01-19,Purchnase plastic drums,Metro gTraders,115619,0,-19218954,Cash,Purchases - Plastic Drums
2024-01-19,Bank service charges,Local Supplier,3404,0,-18626713,Bank,Bank Charges
2024-01-19,Steel drums received,Punjab Ckhemicals,337011,0,-188765,Bank,Purchases - Steel Drums
2024-01-19,Svteel drums dispatched,M Ehtisham,0,774559,-22561344,Cash,Sales - Steel Drums
2024-01-19,Sold reconditioned drums,local supplier,0,145093,-20031866,Bank,Sales - Refurbished Drums
2024-01-19,Paper stock,Regular Client,2094,0,-11908029,Bank,Office Supplies
2024-01-19,General expense,M Ehtisham,9461,0,5989664,Cash,Miscellaneous
2024-01-19,IBC tank sale,Regular Client,0,442339,-19628133,Cash,Sales - IBC Tanks
2024-01-19,General expense,tcs courier,6321,0,-22088691,Bank,Miscellaneous
2024-01-19,Refurbiskhed drum sale,City Freight,0,119409,639431,Bank,Sales - Refurbished Drums
2024-01-20,Refurbished steel drums invoice,M Ehtishakm,0,135803,-18805134,Bank,Sales - Refurbished Drums
2024-01-20,Bought steel drums HTG Petro,M Ehtisham,165950,0,-19644677,Bank,Purchases - Steel Drums
2024-01-20,Customer pickup steel drums,city freight,0,298045,6069084,Bank,Sales - Steel Drums
2024-01-20,Purchase steel drums,Walk-in Customer,117265,0,-14512128,Bank,Purchases - Steel Drums
2024-01-20,Internet bill,TCS Courier,3616,0,-10755056,Cash,Utilities
2024-01-20,Sandblasting cost,HTG Petro,9915,0,-16183798,Cash,Refurbishing Costs
2024-01-20,Plastic drums received,City Freight,148036,0,-9658674,Cash,Purchases - Plastic Drums
2024-01-20,Plastic drum sale,tcs courier,0,89379,-22001397,Bank,Sales - Plastic Drums
2024-01-20,sold steel drums,Pakistan Drums Co,0,440787,-16749607,Cash,Sales - Steel Drums
2024-01-21,freight charges,Bank Al Falah,35502,0,-13913426,Bank,Freight & Conveyance
2024-01-21,Gas charges,Habib Bank,17113,0,-20854976,Bank,Utilities
2024-01-21,Internet bill,Regular Client,10330,0,-9979072,Bank,Utilities
2024-01-21,Sold reconditioneed drums,Pakistan Drums Co,0,140086,-14326958,Bank,Sales - Refurbished Drums
2024-01-21,Refurbished drum sale,Local Supplier,0,70726,-24406010,Bank,Sales - Refurbished Drums
2024-01-21,Purchase IBC small tanks,Pakistan Drums Co,172297,0,-2931663,Cash,Purchases - IBC Tanks
2024-01-21,Steel drums received,City Freight,770708,0,-17167154,Cash,Purchases - Steel Drums
2024-01-21,Phone bill,Al-Baraka Bank,4573,0,-22408683,Bank,Utilities
2024-01-21,Reconditioning expense,City Freight,67368,0,-13880186,Bank,Refurbishing Costs
2024-01-21,Plastic drums received,Pakistan Drums Co,129883,0,-8139825,Bank,Purchases - Plastic Drums
2024-01-22,wategr bill,Pakistan Drums Co,8049,0,1873721,Cash,Utilities
2024-01-22,Monthly warehouse rent,Al-Baraka Bank,35127,0,-20973088,Bank,Rent
2024-01-22,Internet bill,Ahl-Baraka Bank,9211,0,-21137150,Bank,Utilities
2024-01-22,Sundry charges,Punjab Chemicals,8433,0,-10271235,Bank,Miscellaneous
2024-01-22,Paper stock,M Ehtisham,5861,0,-21045055,Bank,Office Supplies
2024-01-22,IBC vtank procurement,TCS Courier,161226,0,-16460207,Bank,Purchases - IBC Tanks
2024-01-22,Purchase steel drums,M Ehtisham,357650,0,-23593423,Bank,Purchases - Steel Drums
